ID,mu,E_L,E_H,gap,method,qm9_id,smiles_init,smiles_final
0,3.19443,-3.0143,-7.1674,4.1531,DIDgen-SimpleNet-4.1,,O=C1CC2(C(=O)F)NN2C1=O,O=C1C[C@]2(C(=O)F)NN2C1=O
1,6.39468,-2.63,-6.5888,3.9588,DIDgen-SimpleNet-4.1,,O=C1NC=C(CO)C1=O,O=C1NC=C(CO)C1=O
2,1.885,-3.1395,-7.3056,4.1661,DIDgen-SimpleNet-4.1,,N=C1C2C3C1(C=O)C(=O)N1OC231,[H]/N=C1/[C@H]2[C@@H]3[C@]24ON4C(=O)[C@]13C=O
3,1.65301,-3.2646,-6.3103,3.0457,DIDgen-SimpleNet-4.1,,N=COC1=NC=C(O)C1=O,[H]/N=C\OC1=NC=C(O)C1=O
4,2.03457,-2.2051,-7.8826,5.6775,DIDgen-SimpleNet-4.1,,FC12OOC1(C#CC13ONN1O3)O2,F[C@@]12OO[C@]1(C#C[C@]13ONN1O3)O2
5,3.95969,-3.0429,-6.3313,3.2884,DIDgen-SimpleNet-4.1,,CC#COC1C(=O)C(=O)C1C,CC#CO[C@@H]1C(=O)C(=O)[C@@H]1C
6,5.16932,-1.1584,-5.9771,4.8187,DIDgen-SimpleNet-4.1,,ONC=C(F)C=NF,ON/C=C(F)/C=N\F
7,3.20279,-2.8989,-7.5319,4.633000000000001,DIDgen-SimpleNet-4.1,,O=C(F)C(=O)C1(NCF)OOC1(F)C(F)F,O=C(F)C(=O)[C@@]1(NCF)OO[C@]1(F)C(F)F
8,2.60208,-2.8656,-6.5579,3.6923,DIDgen-SimpleNet-4.1,,CNC(=O)C(=O)C(=O)O,CNC(=O)C(=O)C(=O)O
9,6.82272,-3.0921,-5.8967,2.8046,DIDgen-SimpleNet-4.1,,N=NC1=C(F)N=C(N)C1=O,[H]/N=N\C1=C(F)N=C(N)C1=O
10,3.53963,-2.647,-5.9649,3.3179000000000003,DIDgen-SimpleNet-4.1,,CNNC(N=O)=NO,CNN/C(N=O)=N\O
11,4.01216,-1.9803,-6.1035,4.123200000000001,DIDgen-SimpleNet-4.1,12307.0,O=C1CCNCC1=O,O=C1CCNCC1=O
12,5.06297,-2.6125,-6.9685,4.356,DIDgen-SimpleNet-4.1,,N=c1on2c(=N)cc1-2,[H]/N=c1/on2/c(=N/[H])cc1-2
13,2.85948,-3.1744,-6.9451,3.7707,DIDgen-SimpleNet-4.1,,C1#CN=C2N=NN2NC1,C1#CN=C2N=NN2NC1
14,0.90675,-2.34,-6.392,4.0520000000000005,DIDgen-SimpleNet-4.1,,CN=c1ncnnn1C,C/N=c1\ncnnn1C
15,4.36219,-0.4175,-5.8635,5.446,DIDgen-SimpleNet-4.1,,NC12NN3C4(NOC314)N2,N[C@]12NN3[C@]4(NO[C@@]314)N2
16,1.67893,-3.2839,-6.6438,3.3599,DIDgen-SimpleNet-4.1,,C1=NN=NC=C2C3=C1C31ON2O1,C1=N\N=N\C=C2/C3=C/1N1OC32O1
17,1.61907,-1.8711,-6.3515,4.4804,DIDgen-SimpleNet-4.1,,NC1N=CC2=C3OOC21OC3=O,N[C@@H]1N=CC(=C=O)C1=O.O=C=O
18,3.46222,-2.2002,-6.1378,3.9376,DIDgen-SimpleNet-4.1,,C#CCC1=CC(=O)C=C1O,C#CCC1=CC(=O)C=C1O
19,1.75309,-2.4234,-6.3566,3.9332,DIDgen-SimpleNet-4.1,,CC(=O)C12OC(=C1OCF)O2,CC(=O)[C@@]12O[C@]1(OCF)[C-]=[O+]2
20,1.42513,-3.8186,-7.6192,3.8006,DIDgen-SimpleNet-4.1,,N#Cc1cnoc(=N)n1,[H]/N=c1\nc(C#N)cno1
21,8.52561,-2.4844,-6.5263,4.0419,DIDgen-SimpleNet-4.1,,NNc1cnc(=O)on1,NNc1cnc(=O)on1
22,2.58684,-3.3431,-6.0069,2.6638,DIDgen-SimpleNet-4.1,,,[H]/N=C1/[N+](C=O)=C[C@]23[N-][C@]12O3
23,3.63416,-1.775,-5.4632,3.6882,DIDgen-SimpleNet-4.1,,,C/[O+]=c1/ooc(CCO)c1[O-]
24,5.48044,-4.7489,-6.1192,1.3703000000000003,DIDgen-SimpleNet-4.1,,O=C=C1OON=C(C(=O)OF)O1,O=C(C#[O+])O/C(=N\[O-])C(=O)OF
25,4.37117,-3.4313,-6.0359,2.6046,DIDgen-SimpleNet-4.1,,O=CC1=C(N=O)NNN1,O=CC1=C(N=O)NNN1
26,5.43276,-1.4176,-6.9868,5.5692,DIDgen-SimpleNet-4.1,,N=c1n2on1n2C(N)=NN(F)F,N=c1n2on1n2/C(N)=N/N(F)F
27,6.42944,-3.0293,-6.7317,3.7024,DIDgen-SimpleNet-4.1,,N=C1C(=O)CCNC(=O)C1=O,[H]/N=C1\C(=O)CCNC(=O)C1=O
